country,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG
subject,B11,B11,B11,B11,B11,B11,B11,B11,B11,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,DB1_GE,DB1_GE,DB1_GE,DB1_GE,DB1_GE,P3,P3,P3,P3,P3,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P5,P5,P5,P5,P5,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51A,P51A,P51A,P51A,P51N1111,P51N1111,P51N1111,P51N1111,P51N1111,P51N1111,P51N1113,P51N1113,P51N1113,P51N1113,P51N11131,P51N11131,P51N11131,P51N11131,P51N112,P51N112,P51N112,P51N112,P52,P52,P52,P52,P52,P52,P52,P52,P52_P53,P52_P53,P52_P53,P52_P53,P52_P53,P52_P53,P52_P53,P52_P53,P53,P53,P53,P53,P53,P53,P53,P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CAR,CARSA,CQR,CQRSA,DNBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CAR,CQR,VNBAR,VNBQR,VNBQRSA,CAR,CARSA,CQR,CQRSA,DNBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CAR,CARSA,CQR,CQRSA,DNBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CAR,CQR,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CQR,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CQR,VNBAR,VNBQR,CAR,CQR,VNBAR,VNBQR,CAR,CQR,VNBAR,VNBQR,CAR,CARSA,CQR,CQRSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CQR,CQRSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CQR,CQRSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CAR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CD,CAR,CARSA,CQR,VNBAR,VNBARSA,VNBQR,VNBQRSA,VOBARSA
unit,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Index,Index,Percentage,Percentage,Index,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,US Dollar,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso,Argentine Peso
powercode,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
reference_period,,,,,2004,2004,2004,2004,2004,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,2004,2004,2004,,,,,2004,2004,2004,2004,2004,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,,,2004,2004,2004,2004,2004,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,2004,2004,2004,2004,,,2004,2004,2004,2004,,,2004,2004,,,2004,2004,,,2004,2004,,,,,2004,2004,2004,2004,,,,,2004,2004,2004,2004,,,,,2004,2004,2004,2004,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,,,,2004,2015,,,2015,2004,2004,2004,2004,2015,2015,,,,,2004,2004,2004,2004,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29397,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68387,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77609,,,,,,,,
1993,,,,,,,,,,,256302.6,350558.3,,,,,,,56.968199156,,,,,3392177.6,494015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73113,,,,,,,,
1994,,,,,,,,,,,278990.0,378940.4,,,,,5.836200695,5.836200695,60.292977591,,,,,3590151.9,522846.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73624,,,,,,,,
1995,,,,,,,,,,,279631.5,375878.9,,,,,-2.845209605,-2.845209605,58.577516002,,,,,3488004.6,507970.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74394,,,,,,,,
1996,,,,,,,,,,,294931.1,403914.9,,,,,5.526689834,5.526689834,61.814913624,,,,,3680775.8,536044.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73018,,,,,,,,
1997,,,,,,,,,,,317373.8,444206.6,,,,,8.11104676,8.11104676,66.828750173,,,,,3979325.2,579523.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71447,,,,,,,,
1998,,,,,,,,,,,323973.0,466502.0,,,,,3.850178856,3.850178856,69.401776581,,,,,4132536.3,601836.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69447,,,,,,,,
1999,,,,,,,,,,,307256.4,457060.1,,,,,-3.385457049,-3.385457049,67.052209244,,,,,3992631.1,581461.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67225,,,,,,,,
2000,,,,,,,,,,,307994.1,463727.1,,,,,-0.788998924,-0.788998924,66.523168034,,,,,3961129.3,576873.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66417,,,,,,,,
2001,,,,,,,,,,,291189.0,453269.0,,,,,-4.408839703,-4.408839703,63.590268191,,,,,3786489.4,551440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64242,,,,,,,,
2002,,,,,,,,,,,338745.9,410182.6,,,,,-10.894484806,-10.894484806,56.662436085,,,,,3373970.9,491363.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82584,,,,,,,,
2003,,,,,,,,,,,407376.3,455241.0,,,,,8.837040773,8.837040773,61.669718664,,,,,3672130.1,534785.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89486,,,,,,,,
2004,33970.6,33970.6,33970.6,33970.6,100.0,33970.6,33970.6,33970.6,33970.6,485115.2,485115.2,470302.9,485115.2,485115.2,99.999999902,12.116648346,9.029573319,9.029573319,67.238231127,485115.2,485115.2,485115.2,485115.2,4003707.8,583074.3,,,,,,366000.7,366000.7,366000.7,366000.7,99.999999861,366000.7,366000.7,366000.7,366000.7,312081.9,312081.9,302552.9,312081.9,312081.9,99.999999928,13.279748213,,,59.883716276,312081.9,312081.9,312081.9,312081.9,2350058.8,342247.5,53918.8,53918.8,52272.5,53918.8,53918.8,99.999999476,8.981595777,,,55.705852894,53918.8,53918.8,53918.8,53918.8,600325.3,87427.5,85143.9,85143.9,85143.9,85143.9,100.000000003,85143.9,85143.9,85143.9,85143.9,77103.2,77103.2,74748.9,77103.2,77103.2,100.0,15.203338902,,,54.719886878,77103.2,77103.2,77103.2,77103.2,507146.3,73857.5,77103.2,77103.2,77103.2,77103.2,77103.2,77103.2,46335.3,46335.3,46335.3,46335.3,46335.3,46335.3,23584.3,23584.3,23584.3,23584.3,6767.8,6767.8,6767.8,6767.8,415.8,415.8,415.8,415.8,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,8040.7,,,,,,,,,115688.4,115688.4,112156.1,115688.4,115688.4,100.0,21.20200707,,,85.596048653,115688.4,115688.4,115688.4,115688.4,545648.5,79464.7,81717.8,81717.8,79222.7,81717.8,81717.8,99.999999997,25.130094406,,,46.356422638,81717.8,81717.8,81717.8,81717.8,325179.0,47357.0,1.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325708.0
2005,34605.6,34605.6,34605.6,34605.6,96.3,35928.4,35928.4,35928.4,35928.4,582538.2,582538.2,527985.9,582538.2,582538.2,110.317511079,13.366784894,8.851659925,8.851659925,73.189930686,528055.9,528055.9,528055.9,528055.9,4358102.4,634686.1,,,,,,437901.2,437901.2,437901.2,437901.2,111.033808771,394385.5,394385.5,394385.5,394385.5,367170.3,367170.3,332786.3,367170.3,367170.3,109.553101471,14.548376045,7.39257839,7.39257839,64.310666945,335152.8,335152.8,335152.8,335152.8,2523788.7,367548.4,70731.0,70731.0,64107.3,70731.0,70731.0,119.41200202,10.725103386,9.85543505,9.85543505,61.195907045,59232.7,59232.7,59232.7,59232.7,659489.9,96043.9,110031.3,110031.3,110031.3,110031.3,112.573195128,97742.1,97742.1,97742.1,97742.1,101077.1,101077.1,91611.6,101077.1,101077.1,113.178868663,17.206966969,15.828372422,15.828372422,63.381154362,89307.4,89307.4,89307.4,89307.4,587419.4,85548.0,101077.1,101077.1,89307.4,89307.4,89307.4,89307.4,59338.2,59338.2,50419.8,50419.8,50419.8,50419.8,30440.7,30440.7,28322.7,28322.7,10818.4,10818.4,10134.3,10134.3,479.7,479.7,430.6,430.6,8954.3,8954.3,8954.3,8954.3,8434.7,8434.7,8434.7,8434.7,8954.3,8954.3,8954.3,8954.3,8434.7,8434.7,8434.7,8434.7,,,,,,,,,135416.1,135416.1,122734.9,135416.1,135416.1,103.690061123,21.98437409,12.886830396,12.886830396,96.626666268,130597.0,130597.0,130597.0,130597.0,615965.3,89705.2,100810.5,100810.5,91370.0,100810.5,100810.5,106.487810106,26.760487211,15.848231877,15.848231877,53.703095987,94668.6,94668.6,94668.6,94668.6,376714.1,54862.2,1.10332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348153.3
2006,40233.2,40233.2,40233.2,40233.2,122.7,32785.3,32785.3,32785.3,32785.3,715904.3,715904.3,588076.1,715904.3,715904.3,125.476298193,15.203521824,8.047151495,8.047151495,79.079635288,570549.4,570549.4,570549.4,570549.4,4708805.5,685760.2,,,,,,541936.7,541936.7,541936.7,541936.7,125.068881237,433310.6,433310.6,433310.6,433310.6,452954.0,452954.0,372076.9,452954.0,452954.0,121.803435699,16.175189587,10.956234401,10.956234401,71.35669436,371872.9,371872.9,371872.9,371872.9,2800300.9,407817.9,88982.7,88982.7,73094.4,88982.7,88982.7,144.834127885,13.008415981,3.722522988,3.722522988,63.473938753,61437.7,61437.7,61437.7,61437.7,684039.6,99619.1,133734.4,133734.4,133734.4,133734.4,128.032461433,104453.5,104453.5,104453.5,104453.5,131233.7,131233.7,107801.3,131233.7,131233.7,128.367753461,19.5161846,14.472815943,14.472815943,72.554192176,102232.6,102232.6,102232.6,102232.6,672435.5,97929.2,131233.7,131233.7,102232.6,102232.6,102232.6,102232.6,76900.7,76900.7,56373.0,56373.0,56373.0,56373.0,40327.0,40327.0,33905.6,33905.6,13442.1,13442.1,11500.2,11500.2,564.0,564.0,453.8,453.8,2500.7,2500.7,2500.7,2500.7,2220.9,2220.9,2220.9,2220.9,2500.7,2500.7,2500.7,2500.7,2220.9,2220.9,2220.9,2220.9,,,,,,,,,164849.1,164849.1,135414.5,164849.1,164849.1,119.577379998,25.352804561,5.561203215,5.561203215,102.000271539,137859.8,137859.8,137859.8,137859.8,650220.3,94693.9,124615.9,124615.9,102365.1,124615.9,124615.9,118.597734682,29.80372269,10.991862916,10.991862916,59.606066679,105074.5,105074.5,105074.5,105074.5,418122.0,60892.6,1.21737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319931.2
2007,39290.7,39290.7,39290.7,39290.7,167.9,23403.9,23403.9,23403.9,23403.9,896980.2,896980.2,658372.5,896980.2,896980.2,144.22236304,17.474916583,9.007650884,9.007650884,86.202852755,621942.5,621942.5,621942.5,621942.5,5132958.3,747531.1,,,,,,677404.4,677404.4,677404.4,677404.4,143.260004972,472849.6,472849.6,472849.6,472849.6,560892.8,560892.8,411688.4,560892.8,560892.8,137.946542177,18.318953483,9.338843604,9.338843604,78.020584448,406601.5,406601.5,406601.5,406601.5,3061816.6,445903.3,116511.7,116511.7,85518.1,116511.7,116511.7,175.871687076,15.796084101,7.829778572,7.829778572,68.443807608,66248.1,66248.1,66248.1,66248.1,737598.4,107419.1,180285.1,180285.1,180285.1,180285.1,143.437447181,125689.0,125689.0,125689.0,125689.0,175055.4,175055.4,128488.5,175055.4,175055.4,142.156749056,21.612572331,20.453198763,20.453198763,87.393845312,123142.5,123142.5,123142.5,123142.5,809970.0,117958.8,175055.4,175055.4,123142.5,123142.5,123142.5,123142.5,98067.6,98067.6,62271.2,62271.2,62271.2,62271.2,58908.3,58908.3,47043.9,47043.9,17442.0,17442.0,13334.2,13334.2,637.6,637.6,493.2,493.2,5229.7,5229.7,5229.7,5229.7,2546.5,2546.5,2546.5,2546.5,5229.7,5229.7,5229.7,5229.7,2546.5,2546.5,2546.5,2546.5,,,,,,,,,203280.4,203280.4,149205.3,203280.4,203280.4,136.32433334,28.903494792,8.164451917,8.164451917,110.328034665,149115.3,149115.3,149115.3,149115.3,703307.3,102425.2,163989.7,163989.7,120366.4,163989.7,163989.7,130.449363732,32.782048259,19.640284211,19.640284211,71.312867582,125711.4,125711.4,125711.4,125711.4,500242.3,72852.1,1.36242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320508.3
2008,42756.8,42756.8,42756.8,42756.8,573.3,7457.9,7457.9,7457.9,7457.9,1149646.1,1149646.1,698223.6,1149646.1,1149646.1,177.640364711,21.524058333,4.057233103,4.057233103,89.700303433,647176.2,647176.2,647176.2,647176.2,5341214.3,777860.2,,,,,,881871.6,881871.6,881871.6,881871.6,174.410847617,505628.9,505628.9,505628.9,505628.9,725134.5,725134.5,440401.6,725134.5,725134.5,166.292977426,22.083288714,7.244648959,7.244648959,83.672901907,436058.4,436058.4,436058.4,436058.4,3283634.5,478207.5,156737.2,156737.2,95192.4,156737.2,156737.2,225.292549544,20.234866221,5.015078466,5.015078466,71.876318265,69570.5,69570.5,69570.5,69570.5,774589.5,112806.2,225017.7,225017.7,225017.7,225017.7,167.811749055,134089.3,134089.3,134089.3,134089.3,218549.6,218549.6,132733.4,218549.6,218549.6,163.279148189,24.823882256,8.695434661,8.695434661,94.993120029,133850.3,133850.3,133850.3,133850.3,880400.5,128215.9,218549.6,218549.6,133850.3,133850.3,133850.3,133850.3,124395.3,124395.3,65214.3,65214.3,65214.3,65214.3,71914.1,71914.1,53666.8,53666.8,21492.5,21492.5,14451.2,14451.2,747.8,747.8,518.0,518.0,6468.1,6468.1,6468.1,6468.1,239.1,239.1,239.1,239.1,6468.1,6468.1,6468.1,6468.1,239.1,239.1,239.1,239.1,,,,,,,,,253622.3,253622.3,154034.4,253622.3,253622.3,168.835558793,35.796527111,0.739874502,0.739874502,111.144323662,150218.5,150218.5,150218.5,150218.5,708510.9,103183.0,210865.5,210865.5,128066.6,210865.5,210865.5,147.70566953,37.118574197,13.562186991,13.562186991,80.984452032,142760.6,142760.6,142760.6,142760.6,568086.1,82732.4,1.64653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262165.2
2009,63205.7,63205.7,63205.7,63205.7,320.7,19708.3,19708.3,19708.3,19708.3,1247929.3,1247929.3,661109.5,1247929.3,1247929.3,204.957277146,24.833952555,-5.918525084,-5.918525084,84.391368474,608872.9,608872.9,608872.9,608872.9,5025093.2,731822.3,,,,,,984392.1,984392.1,984392.1,984392.1,202.544919727,486011.8,486011.8,486011.8,486011.8,785922.7,785922.7,416354.5,785922.7,785922.7,190.516804858,25.300152007,-5.397651998,-5.397651998,79.156529845,412521.5,412521.5,412521.5,412521.5,3106395.3,452395.5,198469.4,198469.4,105142.2,198469.4,198469.4,270.062091091,24.255885495,5.634254189,5.634254189,75.926012738,73490.3,73490.3,73490.3,73490.3,818231.9,119162.0,200331.5,200331.5,200331.5,200331.5,194.208383537,103152.9,103152.9,103152.9,103152.9,194449.3,194449.3,103012.4,194449.3,194449.3,187.626329094,28.525466682,-22.57285255,-22.57285255,73.550463112,103636.4,103636.4,103636.4,103636.4,681669.0,99273.9,194449.3,194449.3,103636.4,103636.4,103636.4,103636.4,116365.8,116365.8,53144.9,53144.9,53144.9,53144.9,60041.7,60041.7,40131.1,40131.1,17133.0,17133.0,9835.1,9835.1,908.7,908.7,525.2,525.2,5882.2,5882.2,5882.2,5882.2,-483.6,-483.6,-483.6,-483.6,5882.2,5882.2,5882.2,5882.2,-483.6,-483.6,-483.6,-483.6,,,,,,,,,244107.3,244107.3,129319.5,244107.3,244107.3,179.256759205,38.00603076,-9.347106461,-9.347106461,100.755545403,136177.4,136177.4,136177.4,136177.4,642285.6,93538.4,180901.6,180901.6,95835.4,180901.6,180901.6,155.321447563,39.032426407,-18.416439357,-18.416439357,66.069999535,116469.2,116469.2,116469.2,116469.2,463464.9,67496.1,1.88763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239976.4
