country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
2012,690800.9,690800.9,376585.4,376585.4,2760443.4,2298314.3,2298314.3,57611.9,56314.9,56314.9,1612100.0,1254495.0,1254495.0,270597.4,247646.7,247646.7,118496.4,104484.0,104484.0,219342.5,199797.7,199797.7,972235.2,883020.4,883020.4,124289.4,120869.0,120869.0,108057.9,98825.4,98825.4,124368.2,101140.3,101140.3,349649.0,319281.1,319281.1,46528.1,43106.9,43106.9,2781937.4,2317862.7,2317862.7,2781.94,1685821.8,2781937.4,2781937.4,124.11834654,5.427394264,5.427394264,58154.6,48588.4,89.277015011,2317862.7,2317862.7,2241.36,1408511.0,2781937.4,2823144.2,1108787.3,88678.3,41207.3,47471.0,21494.0,19548.4,19548.4,114409.0,1338724.0,1338724.0,1232596.8,1232596.8,787545.0,787545.0,728319.9,728319.9,1338724.0,551179.0,551179.0,504276.9,504276.9,2069104.8,1920111.1,1951489.5,1818016.3,3566928.3,3038439.9,752412.5,752412.5,708680.5,708680.5,615175.0,615175.0,587603.4,587603.4,137237.5,137237.5,121077.1,121077.1,752412.0,1497823.5,1497823.5,1118328.8,1118328.8,1456386.0,1456386.0,41437.5,41437.5,807022.6,807022.6,741743.4,741743.4,583473.1,583473.1,223549.6,223549.6,28988.6,1.6502,137237.5,137237.5,121077.1,121077.1
2013,591536.5,591536.5,351470.4,351470.4,2805818.0,2364748.3,2364748.3,61345.7,58841.1,58841.1,1543223.8,1250561.5,1250561.5,279867.0,257208.4,257208.4,134512.7,112554.2,112554.2,242462.4,213469.5,213469.5,1066735.9,942791.5,942791.5,134305.3,128664.8,128664.8,116392.5,103103.5,103103.5,153347.6,115222.2,115222.2,368070.0,334787.6,334787.6,52158.1,47543.9,47543.9,2826992.0,2383929.7,2383929.7,2826.99,1696399.1,2826992.0,2826992.0,122.633031005,2.850342993,2.850342993,57110.1,48769.8,91.821716153,2383929.7,2383929.7,2305.25,1448658.4,2826992.0,2877847.0,1002256.3,94389.2,50855.2,43534.0,21174.0,19181.5,19181.5,134859.9,1475276.2,1475276.2,1317164.8,1317164.8,846754.2,846754.2,756862.9,756862.9,1475276.2,628522.0,628522.0,560301.9,560301.9,2208390.2,2007220.4,2129711.8,1930441.0,3662055.0,3127545.6,760179.3,760179.3,715294.6,715294.6,663414.6,663414.6,621199.8,621199.8,96764.7,96764.7,94094.8,94094.8,760179.0,1453664.8,1453664.8,1120325.1,1120325.1,1409853.3,1409853.3,43811.4,43811.4,862128.2,862128.2,768854.7,768854.7,630582.0,630582.0,231546.2,231546.2,29704.0,1.66647,96764.7,96764.7,94094.8,94094.8
2014,371843.9,371843.9,279688.5,279688.5,2851252.3,2459979.3,2459979.3,65792.7,61855.0,61855.0,1473670.0,1288309.9,1288309.9,311389.5,284537.3,284537.3,152735.8,120031.3,120031.3,269227.2,227600.2,227600.2,1159053.9,989783.1,989783.1,144848.5,136729.5,136729.5,124183.4,106332.8,106332.8,168612.9,119148.7,119148.7,391626.0,345854.5,345854.5,60555.9,54117.4,54117.4,2874772.3,2479946.1,2479946.1,2874.77,1746222.6,2874772.3,2874772.3,119.877460939,4.027651216,4.027651216,57381.1,49520.4,95.519974621,2479946.1,2479946.1,2398.09,1507005.3,2874772.3,2936744.6,852824.0,101665.3,61972.3,39693.0,23520.0,19966.8,19966.8,145252.5,1668727.1,1668727.1,1440587.8,1440587.8,929571.1,929571.1,812912.5,812912.5,1668727.1,739156.0,739156.0,627675.3,627675.3,2464469.5,2165153.2,2363266.5,2090193.3,3793999.9,3264697.1,834201.3,834201.3,759669.8,759669.8,716600.8,716600.8,668915.9,668915.9,117600.5,117600.5,90753.9,90753.9,834201.3,1329530.4,1329530.4,1099543.9,1099543.9,1283715.0,1283715.0,45815.4,45815.4,957686.4,957686.4,819855.5,819855.5,651876.0,651876.0,305810.4,305810.4,30432.0,1.64628,117600.5,117600.5,90753.9,90753.9
2015,-109863.2,-109863.2,296692.0,296692.0,2484571.4,2575134.7,2575134.7,69616.1,64716.8,64716.8,958218.1,1358856.3,1358856.3,322196.9,307944.1,307944.1,162486.3,124808.7,124808.7,283406.5,236225.8,236225.8,1294250.9,1026752.9,1026752.9,155580.8,144789.8,144789.8,129154.7,107580.5,107580.5,180828.0,123007.0,123007.0,475066.5,353682.5,353682.5,70214.5,61467.3,61467.3,2510566.4,2596259.2,2596259.2,2510.57,1577686.1,2510566.4,2510566.4,100.0,4.690145068,4.690145068,50642.2,50642.2,100.0,2596259.2,2596259.2,2510.57,1577686.1,2510566.4,2575366.5,410822.4,95912.5,64800.1,31112.4,25995.0,21124.5,21124.5,167651.1,1761225.8,1761225.8,1497381.8,1497381.8,1025086.6,1025086.6,880642.9,880642.9,1761225.8,736139.2,736139.2,616738.9,616738.9,2563375.0,2248544.5,2457378.7,2157663.5,3380914.0,3355646.6,859203.8,859203.8,802185.5,802185.5,737002.3,737002.3,695681.6,695681.6,122201.5,122201.5,106503.9,106503.9,859203.8,817539.0,817539.0,1107102.0,1107102.0,763262.0,763262.0,54277.0,54277.0,927402.2,927402.2,810410.1,810410.1,655033.4,655033.4,272368.8,272368.8,31153.6,1.5913,122201.5,122201.5,106503.9,106503.9
2016,10312.0,10312.0,532921.7,532921.7,2471637.5,2636780.8,2636780.8,73602.1,68129.0,68129.0,900727.0,1402741.9,1402741.9,329626.7,323083.0,323083.0,158810.1,120621.7,120621.7,284628.9,235131.1,235131.1,1338498.4,1045288.2,1045288.2,161069.4,148912.4,148912.4,133860.0,110300.0,110300.0,190255.9,126431.9,126431.9,487515.2,354270.4,354270.4,81169.0,70242.3,70242.3,2497499.5,2657610.7,2657610.7,2497.5,1523868.9,2497499.5,2497499.5,97.183017399,2.363074584,2.363074584,47801.6,50659.3,102.363074584,2657610.7,2657610.7,2569.89,1614968.0,2497499.5,2556475.0,447740.9,89889.5,58975.4,30914.1,25862.0,20830.0,20830.0,158697.7,1715521.1,1715521.1,1411708.7,1411708.7,1090889.0,1090889.0,903169.1,903169.1,1715521.1,624632.2,624632.2,508539.5,508539.5,2408196.4,2054837.1,2291926.3,1960136.7,3161421.7,3250483.1,771666.5,771666.5,712980.4,712980.4,639552.6,639552.6,601577.9,601577.9,132113.8,132113.8,111402.5,111402.5,771666.5,753225.3,753225.3,1195646.0,1195646.0,688528.0,688528.0,64697.3,64697.3,742913.3,742913.3,662724.3,662724.3,525636.0,525636.0,217277.4,217277.4,31879.0,1.63892,132113.8,132113.8,111402.5,111402.5
2017,142566.2,142566.2,493860.5,493860.5,2657852.1,2637009.3,2637009.3,76883.3,71150.7,71150.7,1051501.1,1375436.0,1375436.0,356432.9,332305.1,332305.1,153604.1,116509.1,116509.1,286313.8,238841.4,238841.4,1375863.7,1073913.5,1073913.5,165833.9,152397.3,152397.3,141548.0,115843.2,115843.2,200092.3,133364.8,133364.8,491077.3,355311.3,355311.3,90998.3,78155.4,78155.4,2681230.1,2655758.4,2655758.4,2681.23,1625946.5,2681230.1,2681230.1,104.405132325,-0.069698018,-0.069698018,49697.6,49327.6,102.29172955,2655758.4,2655758.4,2568.1,1613842.4,2681230.1,2721347.6,559564.5,70915.8,40117.1,30798.7,23378.0,18749.1,18749.1,143442.2,1766573.4,1766573.4,1470122.2,1470122.2,1135595.3,1135595.3,944825.9,944825.9,1766573.4,630978.1,630978.1,525296.3,525296.3,2439631.7,2074709.3,2326854.5,2008753.0,3339606.7,3233561.4,772090.5,772090.5,691775.7,691775.7,642096.6,642096.6,607830.7,607830.7,129994.0,129994.0,83945.1,83945.1,772090.5,899975.0,899975.0,1158852.1,1158852.1,831981.4,831981.4,67993.7,67993.7,757408.9,757408.9,664991.5,664991.5,504446.6,504446.6,252962.3,252962.3,32716.8,1.64903,129994.0,129994.0,83945.1,83945.1
2018,394977.0,394977.0,559445.5,559445.5,3089952.0,2648714.4,2648714.4,78783.8,72778.9,72778.9,1415059.6,1391491.2,1391491.2,399044.5,322738.3,322738.3,144791.9,106747.3,106747.3,284178.0,233297.3,233297.3,1451316.7,1077697.0,1077697.0,166778.5,149986.2,149986.2,142624.2,110817.5,110817.5,203764.2,135484.1,135484.1,559357.7,369344.7,369344.7,94614.1,78767.3,78767.3,3174689.2,2729117.0,2729117.0,3174.69,1704004.9,3174689.2,3174689.2,120.29716702,2.762243736,2.762243736,50997.3,49633.0,105.117276442,2729117.0,2729117.0,2639.04,1658420.6,3174689.2,3202614.9,801209.7,72993.4,28915.6,44077.8,84737.2,80402.6,80402.6,153998.4,1950386.4,1950386.4,1543067.1,1543067.1,1201141.8,1201141.8,968841.5,968841.5,1949396.5,749244.5,749244.5,574225.6,574225.6,2667193.1,2073702.5,2506381.9,2082820.3,3848130.3,3315525.3,829325.9,829325.9,626604.3,626604.3,657826.7,657826.7,622668.7,622668.7,171499.2,171499.2,3935.6,3935.6,829325.9,1180937.2,1180937.2,1241822.9,1241822.9,1103952.0,1103952.0,76985.2,76985.2,785960.2,785960.2,682377.4,682377.4,513992.7,513992.7,271967.5,271967.5,33413.7,1.86308,171499.2,171499.2,3935.6,3935.6
2019,250946.5,250946.5,432015.4,432015.4,3052673.2,2664772.0,2664772.0,80487.6,74407.2,74407.2,1292979.6,1359719.8,1359719.8,392735.1,323900.4,323900.4,155048.2,109955.8,109955.8,306297.0,251130.1,251130.1,1524157.9,1120689.2,1120689.2,177127.5,158484.6,158484.6,151548.8,115363.8,115363.8,206392.7,139618.5,139618.5,583758.1,375746.3,375746.3,99033.7,80346.0,80346.0,3144617.6,2751830.9,2751830.9,3144.62,1751594.6,3144617.6,3144617.6,118.174137363,0.832280331,0.832280331,51189.0,48869.5,105.992146859,2751830.9,2751830.9,2661.0,1672223.4,3144617.6,3174240.7,739640.5,77328.5,29623.0,47705.5,91944.4,87058.8,87058.8,137207.5,2003883.8,2003883.8,1588866.9,1588866.9,1267915.1,1267915.1,1031702.0,1031702.0,2003883.8,735968.8,735968.8,557164.9,557164.9,2762614.5,2209921.5,2549227.0,2109230.8,3834589.2,3389692.1,889787.3,889787.3,730948.5,730948.5,703954.5,703954.5,652730.4,652730.4,185832.8,185832.8,78218.1,78218.1,889787.3,1071974.7,1071974.7,1179770.6,1179770.6,981064.4,981064.4,90910.3,90910.3,821028.2,821028.2,747755.2,747755.2,574361.5,574361.5,246666.7,246666.7,34218.2,1.79529,185832.8,185832.8,78218.1,78218.1
2020,2491.0,2491.0,454456.2,454456.2,2636246.9,2545083.4,2545083.4,81511.3,73172.8,73172.8,926378.8,1270959.4,1270959.4,347986.4,296324.7,296324.7,160449.0,112077.0,112077.0,277761.1,229125.4,229125.4,1467907.8,1088874.2,1088874.2,164222.6,148421.5,148421.5,155892.5,122191.4,122191.4,206331.8,140888.2,140888.2,576971.9,373517.9,373517.9,86727.9,74729.8,74729.8,2753516.9,2632363.2,2632363.2,2753.52,1700085.1,2753516.9,2753516.9,108.172849478,-4.341387683,-4.341387683,48416.0,45555.1,101.39061685,2632363.2,2632363.2,2545.48,1599625.7,2753516.9,2805823.2,364499.8,81469.9,52306.3,29163.6,117270.0,87279.9,87279.9,140350.8,1988535.7,1988535.7,1523777.3,1523777.3,1218702.1,1218702.1,948231.7,948231.7,1988535.7,769833.6,769833.6,575545.6,575545.6,2630000.5,2073707.2,2518902.5,2000112.2,3320608.2,3132674.2,762490.2,762490.2,654129.7,654129.7,663545.7,663545.7,584809.0,584809.0,98944.5,98944.5,69320.7,69320.7,762490.2,685679.9,685679.9,1054691.7,1054691.7,651990.0,651990.0,38617.7,38617.7,683188.9,683188.9,600235.5,600235.5,517490.6,517490.6,165488.8,165488.8,35114.1,1.61963,98944.5,98944.5,69320.7,69320.7
2021,275571.6,275571.6,415109.7,415109.7,3080230.9,2645446.9,2645446.9,87694.2,74982.1,74982.1,1278150.1,1285030.6,1285030.6,432942.7,320524.7,320524.7,169897.9,113425.1,113425.1,319014.8,266522.9,266522.9,1544488.7,1172009.2,1172009.2,170492.8,153590.5,153590.5,169021.3,136437.3,136437.3,210960.7,148783.2,148783.2,577633.1,377808.1,377808.1,97366.1,88867.1,88867.1,3278085.4,2746242.0,2746242.0,3278.09,1836505.2,3278085.4,3278085.4,123.440534472,4.32610468,4.32610468,,,105.776881071,2746242.0,2746242.0,2655.6,1668827.1,3257197.0,3314231.3,678834.2,103766.2,57034.3,46731.9,197854.6,100795.1,100795.1,166392.7,2168302.6,2168302.6,1618707.6,1618707.6,1387975.0,1387975.0,1038481.1,1038481.1,2163153.6,780327.6,780327.6,580226.5,580226.5,2800016.2,2154637.6,2798574.9,2140232.7,3886823.5,3234775.1,834211.2,834211.2,712424.7,712424.7,796503.6,796503.6,647268.4,647268.4,37707.6,37707.6,65156.4,65156.4,818471.8,1074381.0,1074381.0,1065296.7,1065296.7,1047520.8,1047520.8,39286.5,39286.5,798809.4,798809.4,650187.1,650187.1,576342.8,576342.8,184701.0,184701.0,,1.78496,37707.6,37707.6,65156.4,65156.4
2022,703757.7,703757.7,529154.7,529154.7,3966079.4,2887706.8,2887706.8,99976.1,78044.5,78044.5,2016763.8,1459165.1,1459165.1,600120.3,346404.2,346404.2,192200.9,123293.9,123293.9,348344.7,281604.1,281604.1,1657138.7,1227203.3,1227203.3,180693.1,156465.9,156465.9,200033.2,151757.7,151757.7,216528.9,150671.0,150671.0,603158.6,395365.4,395365.4,108380.1,91339.3,91339.3,4157143.2,2984636.0,2984636.0,4157.14,,4157143.2,4157143.2,144.038947018,8.680736101,8.680736101,,,114.959092972,2984636.0,2984636.0,2886.12,1813693.6,4155558.7,4197158.3,1313439.2,99258.1,41599.5,57658.6,191063.7,96929.2,96929.2,165448.4,2354760.4,2354760.4,1707939.4,1707939.4,1488843.7,1488843.7,1088854.3,1088854.3,2328063.7,865916.7,865916.7,619085.2,619085.2,,,,,,,1098625.1,1098625.1,747541.8,747541.8,1024263.6,1024263.6,787543.8,787543.8,74361.5,74361.5,-40002.0,-40002.0,1133443.2,1672056.0,1672056.0,1255157.4,1255157.4,,,,,968298.3,968298.3,726002.7,726002.7,,,,,,,74361.5,74361.5,-40002.0,-40002.0
